Gene,Xobs
typA,1323.42
tyrA,46.48
tyrB,109.8
tyrP,30.02
tyrR,78.72
tyrS,613.97
ubiA,86.52
ubiB,15.62
ubiC,28.12
ubiD,92.82
ubiE,279
ubiF,59.8
ubiG,158.01
ubiH,23.04
ubiX,20.72
ucpA,62.72
udk,241.6
udp,213.28
ugd,1.98
ugpC,5.28
ugpQ,40.6
uhpA,14.82
uhpB,2.4
uhpC,2.5
uidR,23.5
ulaR,32
ung,81.45
uof,20.64
upp,1412.36
uraA,129.01
usg,167.56
ushA,36.89
uspA,974.46
uspD,50.32
uspE,41.42
uspG,75.48
uup,114.68
uvrA,47.73
uvrB,28.42
uvrC,20.52
uvrD,42.56
uvrY,67.32
uxaA,3.85
uxaC,12.18
uxuA,45.79
uxuB,28.22
uxuR,36.52
